no;TRUE;comply;response
1;0;1;1
2;0;1;1
3;0;1;1
4;1;1;0
5;1;1;0
6;0;1;0
7;1;1;0
8;0;1;1
9;0;1;1
10;0;1;1
11;0;1;1
12;0;1;1
13;0;1;1
14;0;1;1
15;0;1;0
16;1;1;0
17;0;1;1
18;0;1;0
19;0;1;1
20;0;1;1
21;0;1;1
22;1;1;0
23;0;1;1
24;0;1;1
25;1;1;0
26;0;1;1
27;0;1;1
28;0;1;1
29;0;1;1
30;0;1;0
31;0;1;1
32;0;1;1
33;0;1;1
34;0;1;1
35;0;1;0
36;0;1;1
37;0;1;1
38;0;1;1
39;0;1;1
40;0;1;1
41;1;1;1
42;1;1;0
43;0;1;1
44;0;1;1
45;0;1;0
46;0;1;0
47;0;1;1
48;0;1;1
49;1;1;0
50;1;1;0
51;1;1;1
52;1;1;0
53;1;1;0
54;0;1;0
55;0;1;1
56;0;1;1
57;0;1;0
58;0;1;1
59;0;1;1
60;1;1;0
61;1;1;0
62;0;1;0
63;0;1;1
64;0;1;1
65;0;1;1
66;1;1;0
67;0;1;1
68;0;1;1
69;1;1;0
70;0;1;1
71;1;1;0
72;1;1;0
73;1;1;0
74;1;1;1
75;0;1;1
76;0;1;1
77;0;1;1
78;0;1;1
79;0;1;1
80;0;1;0
81;0;1;1
82;0;1;1
83;0;1;1
84;0;1;1
85;1;1;1
86;0;1;1
87;0;1;1
88;0;1;1
89;1;1;0
90;0;1;1
91;1;1;1
92;0;1;1
93;0;1;1
94;0;1;1
95;1;1;0
96;1;1;0
97;1;1;0
98;0;1;0
99;0;1;1
100;0;1;1
101;1;1;0
102;1;1;0
103;0;1;1
104;1;1;0
105;1;1;0
106;0;1;1
107;0;1;1
108;1;1;0
109;1;1;0
110;0;1;0
111;0;1;1
112;1;1;0
113;0;1;0
114;0;1;1
115;0;1;1
116;0;1;0
117;0;1;1
118;1;1;0
119;0;1;1
120;0;1;1
121;0;1;1
122;0;1;1
123;1;1;0
124;0;1;1
125;0;1;1
126;0;1;1
127;1;1;1
128;0;1;0
129;0;1;0
130;0;1;1
131;0;1;1
132;1;1;0
133;1;1;0
134;0;1;1
135;1;1;0
136;1;1;0
137;0;1;1
138;0;1;1
139;0;1;1
140;0;1;1
141;1;1;0
142;0;1;1
143;0;1;0
144;1;1;0
145;0;1;1
146;0;1;1
147;0;1;1
148;0;1;0
149;0;1;1
150;0;1;1
151;1;1;0
152;0;1;1
153;1;1;0
154;1;1;0
155;0;1;0
156;0;1;1
157;0;1;1
158;1;1;0
159;0;1;1
160;0;1;1
161;0;1;1
162;0;1;1
163;0;1;1
164;0;1;1
165;0;1;1
166;0;1;1
167;0;1;1
168;0;1;1
169;0;1;1
170;1;1;0
171;0;1;1
172;0;1;1
173;0;1;1
174;1;1;0
175;0;1;1
176;0;1;1
177;1;1;0
178;0;1;1
179;0;1;1
180;0;1;1
181;0;1;1
182;0;1;1
183;0;1;1
184;1;1;0
185;1;1;0
186;0;1;1
187;0;1;1
188;1;1;0
189;0;1;1
190;0;1;1
191;0;1;1
192;0;1;1
193;0;1;1
194;1;1;0
195;0;1;1
196;0;1;1
197;1;1;0
198;0;1;1
199;1;1;1
200;0;1;1
201;1;1;0
202;1;1;0
203;0;1;1
204;1;1;0
205;0;1;1
206;1;1;0
207;0;1;1
208;0;1;1
209;1;1;0
210;0;1;1
211;0;1;1
212;1;1;0
213;0;1;1
214;0;1;1
215;0;1;0
216;1;1;0
217;0;1;1
218;1;1;0
219;0;1;1
220;1;1;0
221;0;1;1
222;0;1;1
223;0;1;1
224;1;1;0
225;1;1;1
226;0;1;1
227;0;1;1
228;0;1;1
229;1;1;0
230;0;1;1
231;0;1;1
232;0;1;1
233;0;1;1
234;0;1;0
235;0;1;1
236;0;1;1
237;0;1;1
238;1;1;0
239;1;1;1
240;0;1;1
241;0;1;1
242;0;1;1
243;0;1;1
244;0;1;1
245;1;1;0
246;0;1;1
247;0;1;1
248;0;1;1
249;0;1;1
250;1;1;0
251;1;1;0
252;0;1;1
253;0;1;1
254;0;1;1
255;0;1;1
256;1;1;0
257;0;1;1
258;0;1;1
259;1;1;0
260;0;1;1
261;0;1;1
262;0;1;1
263;0;1;1
264;0;1;1
265;1;1;0
266;0;1;1
267;0;1;1
268;1;1;0
269;0;1;0
270;1;1;0
271;0;1;1
272;1;1;1
273;0;1;0
274;0;1;0
275;1;1;0
276;0;1;1
277;1;1;0
278;0;1;1
279;0;1;0
280;0;1;1
281;0;1;1
282;1;1;1
283;0;1;1
284;1;1;0
285;0;1;0
286;0;1;1
287;1;1;1
288;0;1;1
289;0;1;0
290;0;1;1
291;1;1;0
292;0;1;0
293;0;1;0
294;1;1;0
295;0;1;1
296;0;1;1
297;1;1;0
298;1;1;1
299;1;1;1
300;0;1;1
301;0;1;1
302;0;1;0
303;0;1;1
304;1;1;0
305;1;1;0
306;0;1;1
307;0;1;0
308;0;1;0
309;0;1;1
310;0;1;1
311;0;1;1
312;0;1;1
313;1;1;0
314;0;1;0
315;1;1;0
316;0;1;1
317;1;1;0
318;0;1;1
319;0;1;1
320;0;1;1
321;1;1;0
322;0;1;1
323;1;1;1
324;0;1;1
325;1;1;1
326;0;1;0
327;0;1;1
328;0;1;0
329;0;1;1
330;0;1;1
331;0;1;1
332;0;1;1
333;0;1;1
334;0;1;1
335;0;1;1
336;0;1;1
337;1;1;0
338;1;1;0
339;1;1;0
340;0;1;1
341;0;1;1
342;0;1;0
343;0;1;1
344;0;1;1
345;0;1;1
346;1;1;0
347;0;1;1
348;0;1;1
349;0;1;1
350;0;1;1
351;0;1;0
352;0;1;1
353;0;1;1
354;0;1;0
355;0;1;1
356;0;1;1
357;0;1;1
358;1;1;0
359;0;1;1
360;0;1;1
361;0;1;0
362;0;1;1
363;1;1;0
364;0;1;1
365;0;1;1
366;0;1;1
367;0;1;1
368;0;1;0
369;0;1;1
370;0;1;1
371;0;1;1
372;0;1;1
373;0;1;1
374;0;1;1
375;0;1;1
376;1;1;0
377;0;1;1
378;1;1;0
379;0;1;1
380;0;1;1
381;0;1;1
382;0;1;1
383;1;1;0
384;0;1;1
385;1;1;0
386;0;1;1
387;0;1;1
388;1;1;0
389;0;1;0
390;0;1;1
391;1;1;0
392;0;1;1
393;0;1;1
394;0;1;1
395;0;1;0
396;1;1;0
397;0;1;1
398;0;1;0
399;0;1;0
400;0;1;1
401;0;1;1
402;0;1;0
403;0;1;1
404;0;1;1
405;0;1;1
406;1;1;0
407;0;1;1
408;1;1;1
409;0;1;1
410;1;1;0
411;1;1;0
412;1;1;0
413;0;1;1
414;0;1;1
415;0;1;1
416;1;1;0
417;0;1;1
418;0;1;1
419;1;1;0
420;0;1;0
421;1;1;0
422;0;1;1
423;0;1;1
424;1;1;0
425;0;1;1
426;0;1;1
427;0;1;1
428;1;1;0
429;1;1;1
430;0;1;1
431;1;1;0
432;0;1;1
433;1;1;0
434;1;1;0
435;0;1;1
436;0;1;1
437;0;1;0
438;1;1;0
439;0;1;0
440;0;1;0
441;0;1;1
442;0;1;1
443;0;1;1
444;0;1;0
445;1;1;0
446;1;1;0
447;0;1;1
448;0;1;0
449;0;1;1
450;0;1;1
451;0;1;1
452;1;1;0
453;1;1;0
454;0;1;0
455;0;1;1
456;1;1;0
457;0;1;1
458;1;1;0
459;1;1;1
460;0;1;0
461;1;1;0
462;1;1;0
463;1;1;0
464;0;1;0
465;0;1;1
466;1;1;0
467;1;1;0
468;0;1;1
469;0;1;1
470;0;1;1
471;1;1;1
472;0;1;1
473;1;1;0
474;0;1;1
475;0;1;1
476;1;1;0
477;0;1;1
478;1;1;1
479;1;1;0
480;1;1;0
481;1;1;0
482;0;1;1
483;1;1;0
484;1;1;0
485;1;1;0
486;0;1;0
487;1;1;1
488;0;1;1
489;0;1;1
490;1;1;0
491;0;1;1
492;0;1;0
493;1;1;0
494;1;1;0
495;0;1;0
496;1;1;0
497;1;1;0
498;0;1;0
499;0;1;1
500;0;1;1
501;1;1;0
502;1;1;0
503;0;1;1
504;0;1;0
505;0;1;1
506;0;1;1
507;0;1;1
508;0;1;1
509;0;1;1
510;0;1;1
511;0;1;1
512;1;1;1
513;1;1;0
514;0;1;1
515;0;1;1
516;0;1;1
517;0;1;1
518;0;1;1
519;0;1;0
520;0;1;1
521;1;1;0
522;0;1;1
523;1;1;0
524;0;1;0
525;1;1;0
526;0;1;1
527;0;1;1
528;0;1;0
529;0;1;1
530;0;1;1
531;1;1;0
532;0;1;1
533;1;1;0
534;0;1;1
535;0;1;0
536;0;1;1
537;0;1;1
538;0;1;1
539;1;1;0
540;0;1;1
541;0;1;1
542;1;1;1
543;0;1;1
544;0;1;1
545;0;1;1
546;0;1;1
547;0;1;0
548;0;1;1
549;0;1;1
550;1;1;0
551;1;1;0
552;0;1;1
553;0;1;1
554;0;1;1
555;0;1;1
556;0;1;1
557;0;1;1
558;0;1;1
559;0;1;1
560;1;1;1
561;1;1;1
562;0;1;1
563;1;1;0
564;0;1;1
565;0;1;1
566;0;1;1
567;0;1;1
568;1;1;0
569;0;1;1
570;1;1;0
571;0;1;1
572;0;1;1
573;1;1;0
574;0;1;1
575;0;1;1
576;1;1;0
577;0;1;1
578;0;1;0
579;0;1;1
580;0;1;1
581;0;1;1
582;0;1;1
583;0;1;1
584;0;1;1
585;1;1;0
586;0;1;0
587;0;1;1
588;0;1;1
589;0;1;1
590;0;1;1
591;1;1;0
592;1;1;1
593;0;1;1
594;0;1;0
595;0;1;0
596;0;1;1
597;0;1;1
598;0;1;1
599;1;1;0
600;0;1;0
601;0;1;1
602;0;1;1
603;0;1;1
604;1;1;0
605;1;1;0
606;0;1;1
607;1;1;1
608;0;1;1
609;0;1;1
610;0;1;1
611;0;1;1
612;1;1;1
613;0;1;0
614;1;1;0
615;1;1;0
616;0;1;1
617;0;1;1
618;0;1;1
619;0;1;1
620;0;1;0
621;0;1;1
622;0;1;1
623;0;1;1
624;1;1;0
625;0;1;0
626;1;1;0
627;0;1;1
628;0;1;1
629;0;1;1
630;1;1;0
631;1;1;0
632;0;1;1
633;0;1;1
634;0;1;1
635;1;1;1
636;1;1;0
637;0;1;1
638;0;1;1
639;0;1;1
640;1;1;0
641;0;1;1
642;1;1;0
643;1;1;0
644;1;1;0
645;0;1;0
646;1;1;0
647;1;1;0
648;1;1;1
649;0;1;1
650;0;1;1
651;0;1;1
652;1;1;0
653;0;1;1
654;0;1;1
655;0;1;1
656;0;1;1
657;0;1;1
658;1;1;1
659;0;1;1
660;1;1;0
661;1;1;0
662;0;1;1
663;0;1;0
664;0;1;1
665;1;1;0
666;0;1;0
667;1;1;0
668;0;1;0
669;0;1;1
670;0;1;1
671;0;1;0
672;0;1;1
673;0;1;0
674;1;1;0
675;0;1;1
676;0;1;1
677;0;1;1
678;0;1;1
679;0;1;1
680;0;1;1
681;0;1;1
682;0;1;1
683;1;1;0
684;0;1;1
685;0;1;1
686;0;1;1
687;0;1;1
688;0;1;1
689;1;1;0
690;1;1;0
691;0;1;0
692;0;1;1
693;0;1;1
694;1;1;1
695;1;1;0
696;1;1;0
697;1;1;1
698;0;1;0
699;0;1;1
700;0;1;1
701;1;1;0
702;0;1;1
703;0;1;0
704;1;1;0
705;1;1;0
706;1;1;0
707;0;1;1
708;0;1;1
709;1;1;0
710;0;1;1
711;0;1;1
712;0;1;1
713;0;1;1
714;1;1;0
715;0;1;1
716;1;1;0
717;0;1;0
718;0;1;0
719;1;1;0
720;0;1;0
721;1;1;0
722;0;1;1
723;0;1;1
724;0;1;1
725;0;1;1
726;1;1;0
727;0;1;1
728;0;1;1
729;0;1;1
730;0;1;0
731;1;1;0
732;0;1;1
733;0;1;1
734;1;1;0
735;1;1;0
736;0;1;1
737;0;1;1
738;1;1;0
739;1;1;0
740;1;1;1
741;0;1;1
742;1;1;1
743;0;1;0
744;0;1;1
745;0;1;1
746;0;1;1
747;1;1;0
748;1;1;1
749;1;1;0
750;0;1;1
751;1;1;0
752;1;1;0
753;1;1;1
754;0;1;0
755;1;1;0
756;0;1;1
757;1;1;0
758;0;1;1
759;0;1;0
760;1;1;0
761;0;1;1
762;0;1;1
763;0;1;1
764;0;1;1
765;0;1;1
766;1;1;1
767;1;1;1
768;0;1;1
769;1;1;0
770;1;1;0
771;0;1;1
772;0;1;1
773;0;1;1
774;0;1;1
775;0;1;0
776;0;1;1
777;0;1;1
778;0;1;1
779;0;1;1
780;0;1;1
781;0;1;1
782;0;1;1
783;1;1;1
784;0;1;1
785;0;1;1
786;0;1;1
787;1;1;0
788;0;1;0
789;0;1;1
790;1;1;0
791;0;1;1
792;0;1;1
793;0;1;1
794;1;1;0
795;0;1;1
796;0;1;1
797;0;1;0
798;1;1;0
799;0;1;1
800;0;1;1
801;0;1;1
802;1;1;0
803;0;1;0
804;0;1;0
805;0;1;1
806;0;1;1
807;1;1;0
808;0;1;1
809;1;1;0
810;0;1;1
811;0;1;0
812;0;1;1
813;1;1;0
814;0;1;1
815;0;1;1
816;0;1;0
817;0;1;1
818;0;1;0
819;0;1;1
820;0;1;1
821;1;1;0
822;0;1;1
823;0;1;1
824;1;1;0
825;0;1;1
826;1;1;1
827;0;1;1
828;1;1;1
829;1;1;0
830;1;1;0
831;1;1;1
832;0;1;1
833;1;1;0
834;0;1;1
835;0;1;1
836;0;1;1
837;0;1;1
838;0;1;1
839;1;1;0
840;1;1;1
841;0;1;1
842;0;1;1
843;0;1;1
844;1;1;1
845;0;1;1
846;0;1;1
847;0;1;1
848;0;1;0
849;1;1;0
850;0;1;0
851;1;1;0
852;1;1;0
853;0;1;1
854;0;1;1
855;0;1;1
856;0;1;1
857;1;1;0
858;0;1;0
859;0;1;0
860;1;1;0
861;0;1;1
862;0;1;0
863;0;1;1
864;1;1;0
865;0;1;1
866;0;1;1
867;0;1;0
868;1;1;1
869;0;1;1
870;0;1;1
871;0;1;0
872;1;1;0
873;0;1;1
874;0;1;1
875;0;1;1
876;1;1;0
877;0;1;0
878;0;1;1
879;1;1;0
880;0;1;1
881;1;1;1
882;0;1;1
883;0;1;1
884;0;1;0
885;0;1;1
886;1;1;0
887;0;1;1
888;0;1;1
889;0;1;1
890;0;1;1
891;0;1;1
892;1;1;0
893;0;1;1
894;1;1;0
895;1;1;0
896;0;1;1
897;0;1;0
898;1;1;0
899;0;1;0
900;0;1;1
901;0;1;1
902;0;1;1
903;0;1;1
904;1;1;0
905;0;1;1
906;0;1;1
907;0;1;1
908;1;1;0
909;0;1;1
910;0;1;0
911;0;1;0
912;0;1;0
913;0;1;1
914;0;1;1
915;0;1;1
916;0;1;1
917;0;1;1
918;0;1;1
919;1;1;0
920;0;1;1
921;1;1;0
922;0;1;0
923;1;1;0
924;0;1;1
925;0;1;1
926;0;1;1
927;0;1;1
928;0;1;1
929;0;1;0
930;1;1;0
931;0;1;1
932;0;1;1
933;0;1;1
934;0;1;1
935;0;1;1
936;0;1;0
937;0;1;1
938;1;1;0
939;0;1;1
940;1;1;1
941;0;1;1
942;0;1;1
943;0;1;1
944;0;1;1
945;0;1;0
946;1;1;1
947;0;1;1
948;0;1;1
949;1;1;0
950;0;1;1
951;0;1;1
952;1;1;1
953;0;1;1
954;0;1;0
955;0;1;1
956;0;1;1
957;0;1;1
958;1;1;1
959;0;1;1
960;0;1;1
961;1;1;0
962;0;1;1
963;0;1;1
964;0;1;0
965;0;1;1
966;0;1;1
967;0;1;1
968;0;1;0
969;1;1;0
970;0;1;1
971;0;1;1
972;1;1;1
973;0;1;1
974;0;1;1
975;1;1;0
976;0;1;1
977;0;1;1
978;0;1;0
979;1;1;0
980;0;1;1
981;1;1;0
982;0;1;1
983;0;1;1
984;0;1;1
985;0;1;1
986;0;1;1
987;0;1;0
988;0;1;0
989;0;1;1
990;0;1;1
991;0;1;0
992;0;1;1
993;1;1;0
994;0;1;1
995;0;1;1
996;1;1;0
997;0;1;1
998;1;1;0
999;0;1;1
1000;0;1;0
